Quote_ID,Customer_ID,Sales_Rep_ID,Product_ID,Quote_Request_Date,Quote_Sent_Date,Quote_Viewed_Date,Quote_Accepted_Date,Shipment_Booked_Date,Shipment_Completed_Date,Origin_Country,Destination_Country,Route,Transport_Mode,Carrier,Quoted_Amount_USD,Final_Booked_Amount_USD,Lead_Time_Days,Response_Time_Hours,Quote_Status,Drop_Off_Stage,Drop_Off_Reason,Priority_Level,Customer_Segment
1,1519,2,21,2024-08-10,2024-08-10 21:00:00,,,,,China,UK,China -> UK ,Sea,FedEx,17641.21,,5,65,Sent,Quote Viewed,,High,Retail
2,1246,10,3,2024-09-28,2024-09-28 01:00:00,2024-09-29 09:00:00,,,,China,USA,China -> USA ,Air,DHL,18652.87,,25,40,Viewed,Quote Accepted,,High,sme
3,1687,6,15,2024-12-03,2024-12-05 13:00:00,2024-12-06 23:00:00,2024-12-09 06:00:00,,,Netherlands,Brazil,Netherlands -> Brazil ,Road,DHL,15350.04,,8,40,Accepted,Quote Sent,Competitor Won,High,Retail
4,1219,9,5,2024-10-10,2024-10-11 06:00:00,2024-10-13 04:00:00,2024-10-13 12:00:00,2024-10-15 12:00:00,2024-10-19 12:00:00,China,India,China -> India ,Road,Cargo Carriers,7278.14,6904.039589954004,16,36,Completed,,,Medium,sme
5,1745,6,4,2024-02-18,2024-02-18 13:00:00,2024-02-19 12:00:00,,,,UK,Netherlands,UK -> Netherlands ,Air,PIL,9873.47,,15,13,Viewed,Quote Sent,Route Constraint,High,Small Business
6,1948,4,6,2024-08-24,2024-08-25 08:00:00,2024-08-26 20:00:00,,,,USA,China,USA -> China ,Sea,DHL,13390.75,,28,2,Viewed,Quote Viewed,Price Too High,High,Enterprise
7,1498,3,7,2024-01-02,2024-01-04 02:00:00,,,,,India,Germany,India -> Germany ,Sea,PIL,9037.14,,19,72,Sent,Quote Accepted,No Feedback,High,Manufacturing
8,1069,4,13,2024-06-09,2024-06-09 08:00:00,2024-06-10 17:00:00,,,,Germany,China,Germany -> China ,Air,Cargo Carriers,19254.8,,20,24,Viewed,Quote Sent,No Feedback,High,Enterprise
9,1687,5,15,2024-12-02,2024-12-04 19:00:00,,,,,South Africa,USA,South Africa -> USA ,Sea,MSC ,13724.79,,20,34,Sent,Quote Accepted,Price Too High,High,Retail
10,1448,9,23,2024-04-19,2024-04-21 17:00:00,,,,,Germany,Netherlands,Germany -> Netherlands ,Sea,Cargo Carriers,17736.42,,26,48,Sent,Quote Accepted,No Feedback,High,Manufacturing
11,1649,5,17,2024-10-10,2024-10-11 15:00:00,2024-10-11 23:00:00,2024-10-12 13:00:00,2024-10-17 13:00:00,,Germany,Netherlands,Germany -> Netherlands ,Sea,Costco,6353.37,6793.154989787228,3,44,Booked,,Documentation Concerns,Medium,Small Business
12,1437,9,1,2024-01-23,2024-01-23 01:00:00,,,,,Germany,UK,Germany -> UK ,Air,MSC,19616.16,,23,57,Sent,Quote Sent,No Feedback,High,Small Business
13,1215,4,22,2024-10-25,2024-10-27 23:00:00,2024-10-28 08:00:00,,,,China,Netherlands,China -> Netherlands ,Air,Emirates,7928.38,,29,6,Viewed,Quote Viewed,No Feedback,Low,sme
14,1884,4,9,2024-05-01,2024-05-01 21:00:00,2024-05-01 23:00:00,,,,Germany,UK,Germany -> UK ,Air,MSC,18565.26,,2,53,Viewed,Quote Viewed,Slow Response,High,Enterprise
15,1863,9,11,2024-06-28,2024-06-29 16:00:00,2024-06-30 05:00:00,2024-07-02 09:00:00,2024-07-05 09:00:00,2024-07-15 09:00:00,USA,India,USA -> India ,Air,MSC,6303.37,6002.340206494032,19,52,Completed,,Competitor Won,High,SME
16,1194,5,2,2024-11-01,2024-11-03 08:00:00,,,,,Brazil,Netherlands,Brazil -> Netherlands ,Road,Qatar ,12517.97,,30,50,Sent,Quote Accepted,Documentation Concerns,Low,Manufacturing
17,1127,5,17,2024-12-09,2024-12-10 02:00:00,,,,,UK,China,UK -> China ,Sea,Qatar,19028.62,,23,41,Sent,Quote Viewed,No Feedback,High,sme
18,1452,4,17,2024-08-03,2024-08-05 01:00:00,2024-08-06 03:00:00,2024-08-09 02:00:00,,,China,Netherlands,China -> Netherlands ,Sea,ONE,6451.36,,10,42,Accepted,Quote Accepted,Documentation Concerns,Low,Retail
19,1786,2,15,2024-06-20,2024-06-20 12:00:00,2024-06-21 03:00:00,,,,Netherlands,USA,Netherlands -> USA ,Sea,Cargo Carriers,1464.08,,23,61,Viewed,Quote Viewed,Route Constraint,Medium,sme
20,1939,2,15,2024-03-16,2024-03-16 01:00:00,2024-03-16 16:00:00,,,,Germany,India,Germany -> India ,Air,DHL,19201.35,,18,7,Viewed,Quote Accepted,Competitor Won,Medium,Retail
21,1533,8,21,2024-09-15,2024-09-17 07:00:00,2024-09-17 18:00:00,,,,India,Netherlands,India -> Netherlands ,Air,Costco,5924.64,,23,36,Viewed,Quote Viewed,Slow Response,Medium,Small Business
22,1430,7,25,2024-06-12,2024-06-14 22:00:00,2024-06-15 23:00:00,2024-06-16 19:00:00,2024-06-18 19:00:00,2024-06-22 19:00:00,UK,Netherlands,UK -> Netherlands ,Road,Maersk,7286.75,7673.814255505669,13,8,Completed,,Route Constraint,High,Small Business
23,1684,7,24,2024-06-01,2024-06-03 02:00:00,,,,,Netherlands,South Africa,Netherlands -> South Africa ,Air,DHL,5169.01,,20,4,Sent,Quote Accepted,Price Too High,Medium,Retail
24,1345,7,9,2024-10-15,2024-10-15 04:00:00,2024-10-15 13:00:00,,,,India,USA,India -> USA ,Sea,Costco,1955.41,,16,28,Viewed,Quote Sent,Documentation Concerns,Low,SME
25,1262,6,6,2024-06-28,2024-06-29 05:00:00,2024-06-29 21:00:00,2024-06-30 23:00:00,2024-07-01 23:00:00,2024-07-07 23:00:00,Netherlands,USA,Netherlands -> USA ,Road,Cargo Carriers,9997.66,10434.272266009035,25,28,Completed,,,High,Small Business
26,1791,5,22,2024-02-25,2024-02-25 04:00:00,,,,,UK,Netherlands,UK -> Netherlands ,Road,MSC,18887.94,,19,32,Sent,Quote Sent,Competitor Won,Low,Enterprise
27,1848,8,23,2024-12-04,2024-12-06 00:00:00,2024-12-06 01:00:00,,,,UK,India,UK -> India ,Air,Qatar,10313.83,,17,47,Viewed,Quote Accepted,Competitor Won,Low,Retail
28,1461,4,25,2024-09-04,2024-09-06 12:00:00,,,,,South Africa,Germany,South Africa -> Germany ,Sea,Cargo Carriers,17182.55,,13,12,Sent,Quote Viewed,Price Too High,Medium,Small Business
29,1529,4,3,2024-04-03,2024-04-05 15:00:00,2024-04-06 08:00:00,,,,Brazil,Germany,Brazil -> Germany ,Air,Qatar,17726.08,,25,36,Viewed,Quote Sent,Documentation Concerns,Medium,Manufacturing
